Catcode,Catname,Catorder,Industry,Sector,"Sector Long",Catgroup
B6000,Construction equipment,C05,Building Materials & Equipment,Construction,"Construction",Private Sector
C0000,Communications & Electronics,B00,Misc Communications/Electronics,Communic/Electronics,"Communications/Electronics",Private Sector
C1000,Printing and publishing (printed & online),B01,Printing & Publishing,Communic/Electronics,"Communications/Electronics",Private Sector
C1100,"Book, newspaper & periodical publishing",B01,Printing & Publishing,Communic/Electronics,"Communications/Electronics",Private Sector
C1300,Commercial printing & typesetting,B01,Printing & Publishing,Communic/Electronics,"Communications/Electronics",Private Sector
C1400,Greeting card publishing,B01,Printing & Publishing,Communic/Electronics,"Communications/Electronics",Private Sector
C2000,Entertainment Industry/Broadcast & Motion Pictures,B02,TV/Movies/Music,Communic/Electronics,"Communications/Electronics",Private Sector
C2100,Commercial TV & radio stations,B02,TV/Movies/Music,Communic/Electronics,"Communications/Electronics",Private Sector
C2200,Cable & satellite TV production,B02,TV/Movies/Music,Communic/Electronics,"Communications/Electronics",Private Sector
C2300,TV production,B02,TV/Movies/Music,Communic/Electronics,"Communications/Electronics",Private Sector
C2400,Motion Picture production & distribution,B02,TV/Movies/Music,Communic/Electronics,"Communications/Electronics",Private Sector
C2600,Recorded Music & music production,B02,TV/Movies/Music,Communic/Electronics,"Communications/Electronics",Private Sector
C2700,Movie Theaters,B02,TV/Movies/Music,Communic/Electronics,"Communications/Electronics",Private Sector
C2800,"Bands, orchestras & other live music production",B02,TV/Movies/Music,Communic/Electronics,"Communications/Electronics",Private Sector
C2900,Live theater & other entertainment productions,B02,TV/Movies/Music,Communic/Electronics,"Communications/Electronics",Private Sector
C4000,Telecommunications,B09,Telecom Services,Communic/Electronics,"Communications/Electronics",Private Sector
C4100,Telephone utilities,B08,Telephone Utilities,Communic/Electronics,"Communications/Electronics",Private Sector
C4200,Long-distance telephone & telegraph service,B08,Telephone Utilities,Communic/Electronics,"Communications/Electronics",Private Sector
C4300,Cell/wireless service providers,B09,Telecom Services,Communic/Electronics,"Communications/Electronics",Private Sector
C4400,Satellite communications,B09,Telecom Services,Communic/Electronics,"Communications/Electronics",Private Sector
C4500,Cable distributors & service providers,B09,Telecom Services,Communic/Electronics,"Communications/Electronics",Private Sector
C4600,Other Communications Services,B09,Telecom Services,Communic/Electronics,"Communications/Electronics",Private Sector
C5000,Electronics manufacturing & services,B12,Electronics Mfg & Equip,Communic/Electronics,"Communications/Electronics",Private Sector
C5100,Computer manufacture & services,B12,Electronics Mfg & Equip,Communic/Electronics,"Communications/Electronics",Private Sector
C5110,Computer components & accessories,B12,Electronics Mfg & Equip,Communic/Electronics,"Communications/Electronics",Private Sector
C5120,Computer software,B12,Electronics Mfg & Equip,Communic/Electronics,"Communications/Electronics",Private Sector
C5130,Data processing & computer services,B12,Electronics Mfg & Equip,Communic/Electronics,"Communications/Electronics",Private Sector
C5200,Telecommunications Devices,B12,Electronics Mfg & Equip,Communic/Electronics,"Communications/Electronics",Private Sector
C5300,Other Communication Electronics,B12,Electronics Mfg & Equip,Communic/Electronics,"Communications/Electronics",Private Sector
C5400,Industrial Electronics,B12,Electronics Mfg & Equip,Communic/Electronics,"Communications/Electronics",Private Sector
C6000,Internet & Online Services,B13,Internet,Communic/Electronics,"Communications/Electronics",Private Sector
C6100,Online Entertainment,B13,Internet,Communic/Electronics,"Communications/Electronics",Private Sector
C6200,Social Media,B13,Internet,Communic/Electronics,"Communications/Electronics",Private Sector
C6300,Search Engine/Email Services,B13,Internet,Communic/Electronics,"Communications/Electronics",Private Sector
C6400,Vendors,B13,Internet,Communic/Electronics,"Communications/Electronics",Private Sector
C6500,Hosting/Cloud Services,B13,Internet,Communic/Electronics,"Communications/Electronics",Private Sector
D0000,Defense,D03,Misc Defense,Defense,"Defense",Public Sector
D2000,Defense aerospace contractors,D01,Defense Aerospace,Defense,"Defense",Public Sector
D3000,Defense electronic contractors,D02,Defense Electronics,Defense,"Defense",Public Sector
D4000,Defense Research & Development,D03,Misc Defense,Defense,"Defense",Public Sector
D5000,Defense shipbuilders,D03,Misc Defense,Defense,"Defense",Public Sector
D6000,Homeland Security contractors,D03,Misc Defense,Defense,"Defense",Public Sector
D8000,Ground-based & other weapons systems,D03,Misc Defense,Defense,"Defense",Public Sector
D9000,Defense-related services,D03,Misc Defense,Defense,"Defense",Public Sector
E0000,"Energy, Natural Resources and Environment",E07,Misc Energy,Energy/Nat Resource,"Energy & Natural Resources",Private Sector
E1000,Energy production & distribution,E07,Misc Energy,Energy/Nat Resource,"Energy & Natural Resources",Private Sector
E1100,Oil & Gas,E01,Oil & Gas,Energy/Nat Resource,"Energy & Natural Resources",Private Sector
E1110,Major (multinational) oil & gas producers,E01,Oil & Gas,Energy/Nat Resource,"Energy & Natural Resources",Private Sector
E1120,Independent oil & gas producers,E01,Oil & Gas,Energy/Nat Resource,"Energy & Natural Resources",Private Sector
E1140,Natural Gas transmission & distribution,E01,Oil & Gas,Energy/Nat Resource,"Energy & Natural Resources",Private Sector
E1150,"Oilfield service, equipment & exploration",E01,Oil & Gas,Energy/Nat Resource,"Energy & Natural Resources",Private Sector
E1160,Petroleum refining & marketing,E01,Oil & Gas,Energy/Nat Resource,"Energy & Natural Resources",Private Sector
E1170,Gasoline service stations,E01,Oil & Gas,Energy/Nat Resource,"Energy & Natural Resources",Private Sector
E1180,Fuel oil dealers,E01,Oil & Gas,Energy/Nat Resource,"Energy & Natural Resources",Private Sector
E1190,LPG/Liquid Propane dealers & producers,E01,Oil & Gas,Energy/Nat Resource,"Energy & Natural Resources",Private Sector
E1200,Mining,E04,Mining,Energy/Nat Resource,"Energy & Natural Resources",Private Sector
E1210,Coal mining,E04,Mining,Energy/Nat Resource,"Energy & Natural Resources",Private Sector
E1220,Metal mining & processing,E04,Mining,Energy/Nat Resource,"Energy & Natural Resources",Private Sector
E1230,Non-metallic mining,E04,Mining,Energy/Nat Resource,"Energy & Natural Resources",Private Sector
E1240,Mining services & equipment,E04,Mining,Energy/Nat Resource,"Energy & Natural Resources",Private Sector
E1300,Nuclear energy,E08,Electric Utilities,Energy/Nat Resource,"Energy & Natural Resources",Private Sector
E1320,"Nuclear plant construction, equipment & svcs",E08,Electric Utilities,Energy/Nat Resource,"Energy & Natural Resources",Private Sector
E1500,Alternate energy production & services,E07,Misc Energy,Energy/Nat Resource,"Energy & Natural Resources",Private Sector
E1600,Electric Power utilities,E08,Electric Utilities,Energy/Nat Resource,"Energy & Natural Resources",Private Sector
E1610,Rural electric cooperatives,E08,Electric Utilities,Energy/Nat Resource,"Energy & Natural Resources",Private Sector
E1620,Gas & Electric Utilities,E08,Electric Utilities,Energy/Nat Resource,"Energy & Natural Resources",Private Sector
E1630,Independent power generation & cogeneration,E08,Electric Utilities,Energy/Nat Resource,"Energy & Natural Resources",Private Sector
E1700,Power plant construction & equipment,E07,Misc Energy,Energy/Nat Resource,"Energy & Natural Resources",Private Sector
E2000,"Environmental services, equipment & consulting",E09,Environmental Svcs/Equipment,Energy/Nat Resource,"Energy & Natural Resources",Private Sector
E3000,Waste management,E10,Waste Management,Energy/Nat Resource,"Energy & Natural Resources",Private Sector
E4000,Fisheries & wildlife,E11,Fisheries & Wildlife,Energy/Nat Resource,"Energy & Natural Resources",Private Sector
E4100,Fishing,E11,Fisheries & Wildlife,Energy/Nat Resource,"Energy & Natural Resources",Private Sector
E4200,Hunting & wildlife,E11,Fisheries & Wildlife,Energy/Nat Resource,"Energy & Natural Resources",Private Sector
E5000,Water Utilities,E07,Misc Energy,Energy/Nat Resource,"Energy & Natural Resources",Private Sector
F0000,"Finance, Insurance & Real Estate",F13,Misc Finance,Finance/Insur/RealEst,"Finance, Insurance & Real Estate",Private Sector
F1000,Banks & lending institutions,F03,Commercial Banks,Finance/Insur/RealEst,"Finance, Insurance & Real Estate",Private Sector
F1100,Commercial banks & bank holding companies,F03,Commercial Banks,Finance/Insur/RealEst,"Finance, Insurance & Real Estate",Private Sector
F1200,Savings banks & Savings and Loans,F04,Savings & Loans,Finance/Insur/RealEst,"Finance, Insurance & Real Estate",Private Sector
F1300,Credit unions,F05,Credit Unions,Finance/Insur/RealEst,"Finance, Insurance & Real Estate",Private Sector
F1400,Credit agencies & finance companies,F06,Finance/Credit Companies,Finance/Insur/RealEst,"Finance, Insurance & Real Estate",Private Sector
F1410,Student loan companies,F06,Finance/Credit Companies,Finance/Insur/RealEst,"Finance, Insurance & Real Estate",Private Sector
F1420,Payday lenders,F06,Finance/Credit Companies,Finance/Insur/RealEst,"Finance, Insurance & Real Estate",Private Sector
F2000,"Securities, commodities & investment",F07,Securities & Investment,Finance/Insur/RealEst,"Finance, Insurance & Real Estate",Private Sector
F2100,Security brokers & investment companies,F07,Securities & Investment,Finance/Insur/RealEst,"Finance, Insurance & Real Estate",Private Sector
F2110,Discount & Online Brokers,F07,Securities & Investment,Finance/Insur/RealEst,"Finance, Insurance & Real Estate",Private Sector
F2200,Commodity brokers/dealers,F07,Securities & Investment,Finance/Insur/RealEst,"Finance, Insurance & Real Estate",Private Sector
F2300,Investment banking,F07,Securities & Investment,Finance/Insur/RealEst,"Finance, Insurance & Real Estate",Private Sector
F2400,Stock exchanges,F07,Securities & Investment,Finance/Insur/RealEst,"Finance, Insurance & Real Estate",Private Sector
F2500,Venture capital,F07,Securities & Investment,Finance/Insur/RealEst,"Finance, Insurance & Real Estate",Private Sector
F2600,Private Equity & Investment Firms,F07,Securities & Investment,Finance/Insur/RealEst,"Finance, Insurance & Real Estate",Private Sector
F2700,Hedge Funds,F07,Securities & Investment,Finance/Insur/RealEst,"Finance, Insurance & Real Estate",Private Sector
F3000,Insurance,F09,Insurance,Finance/Insur/RealEst,"Finance, Insurance & Real Estate",Private Sector
F3100,"Insurance companies, brokers & agents",F09,Insurance,Finance/Insur/RealEst,"Finance, Insurance & Real Estate",Private Sector
F3200,Accident & health insurance,F09,Insurance,Finance/Insur/RealEst,"Finance, Insurance & Real Estate",Private Sector
F3300,Life insurance,F09,Insurance,Finance/Insur/RealEst,"Finance, Insurance & Real Estate",Private Sector
F3400,Property & casualty insurance,F09,Insurance,Finance/Insur/RealEst,"Finance, Insurance & Real Estate",Private Sector
F4000,Real estate,F10,Real Estate,Finance/Insur/RealEst,"Finance, Insurance & Real Estate",Private Sector
F4100,Real Estate developers & subdividers,F10,Real Estate,Finance/Insur/RealEst,"Finance, Insurance & Real Estate",Private Sector
F4200,Real estate agents,F10,Real Estate,Finance/Insur/RealEst,"Finance, Insurance & Real Estate",Private Sector
F4300,Title insurance & title abstract offices,F10,Real Estate,Finance/Insur/RealEst,"Finance, Insurance & Real Estate",Private Sector
F4400,Mobile home dealers & parks,F10,Real Estate,Finance/Insur/RealEst,"Finance, Insurance & Real Estate",Private Sector
F4500,Building operators and managers,F10,Real Estate,Finance/Insur/RealEst,"Finance, Insurance & Real Estate",Private Sector
F4600,Mortgage bankers and brokers,F10,Real Estate,Finance/Insur/RealEst,"Finance, Insurance & Real Estate",Private Sector
F4700,Other real estate services,F10,Real Estate,Finance/Insur/RealEst,"Finance, Insurance & Real Estate",Private Sector
F5000,Financial services & consulting,F13,Misc Finance,Finance/Insur/RealEst,"Finance, Insurance & Real Estate",Private Sector
F5100,Accountants,F11,Accountants,Finance/Insur/RealEst,"Finance, Insurance & Real Estate",Private Sector
F5200,Credit reporting services & collection agencies,F13,Misc Finance,Finance/Insur/RealEst,"Finance, Insurance & Real Estate",Private Sector
F5300,Tax return services,F13,Misc Finance,Finance/Insur/RealEst,"Finance, Insurance & Real Estate",Private Sector
F5500,Other financial services,F13,Misc Finance,Finance/Insur/RealEst,"Finance, Insurance & Real Estate",Private Sector
F7000,Investors,F13,Misc Finance,Finance/Insur/RealEst,"Finance, Insurance & Real Estate",Private Sector
G0000,General commerce,N12,Misc Business,Misc Business,"Misc Business",Private Sector
G1000,General business associations,N00,Business Associations,Misc Business,"Misc Business",Private Sector
G1100,Chambers of commerce,N00,Business Associations,Misc Business,"Misc Business",Private Sector
G1200,Small business associations,N00,Business Associations,Misc Business,"Misc Business",Private Sector
G1300,Pro-business associations,N00,Business Associations,Misc Business,"Misc Business",Private Sector
G1310,Business tax coalitions,N00,Business Associations,Misc Business,"Misc Business",Private Sector
G1400,International trade associations,N00,Business Associations,Misc Business,"Misc Business",Private Sector
G2000,Food & Beverage Products and Services,A09,Food Processing & Sales,Agribusiness,"Agribusiness",Private Sector
G2100,Food and kindred products manufacturing,A09,Food Processing & Sales,Agribusiness,"Agribusiness",Private Sector
G2110,Artificial sweeteners and food additives,N01,Food & Beverage,Misc Business,"Misc Business",Private Sector
G2200,Confectionery processors & manufacturers,N01,Food & Beverage,Misc Business,"Misc Business",Private Sector
G2300,Meat processing & products,A09,Food Processing & Sales,Agribusiness,"Agribusiness",Private Sector
G2350,Fish Processing,N01,Food & Beverage,Misc Business,"Misc Business",Private Sector
G2400,Food stores,A09,Food Processing & Sales,Agribusiness,"Agribusiness",Private Sector
G2500,Food wholesalers,A09,Food Processing & Sales,Agribusiness,"Agribusiness",Private Sector
G2600,Beverages (non-alcoholic),N01,Food & Beverage,Misc Business,"Misc Business",Private Sector
G2700,Beverage bottling & distribution,N01,Food & Beverage,Misc Business,"Misc Business",Private Sector
G2800,Alcohol,N02,"Beer, Wine & Liquor",Misc Business,"Misc Business",Private Sector
G2810,Beer,N02,"Beer, Wine & Liquor",Misc Business,"Misc Business",Private Sector
G2820,Wine & distilled spirits manufacturing,N02,"Beer, Wine & Liquor",Misc Business,"Misc Business",Private Sector
G2840,Liquor stores,N02,"Beer, Wine & Liquor",Misc Business,"Misc Business",Private Sector
G2850,Liquor wholesalers,N02,"Beer, Wine & Liquor",Misc Business,"Misc Business",Private Sector
G2860,"Marijuana Production, Sales & Paraphernalia",N09,Marijuana,Misc Business,"Misc Business",Private Sector
G2900,Restaurants & drinking establishments,N01,Food & Beverage,Misc Business,"Misc Business",Private Sector
G2910,Food catering & food services,N01,Food & Beverage,Misc Business,"Misc Business",Private Sector
G3000,Wholesale trade,N12,Misc Business,Misc Business,"Misc Business",Private Sector
G3500,Import/Export services,N12,Misc Business,Misc Business,"Misc Business",Private Sector
G4000,Retail trade,N03,Retail Sales,Misc Business,"Misc Business",Private Sector
G4100,Apparel & accessory stores,N03,Retail Sales,Misc Business,"Misc Business",Private Sector
G4200,Consumer electronics & computer stores,N03,Retail Sales,Misc Business,"Misc Business",Private Sector
G4300,"Department, variety & convenience stores",N03,Retail Sales,Misc Business,"Misc Business",Private Sector
G4400,Furniture & appliance stores,N03,Retail Sales,Misc Business,"Misc Business",Private Sector
G4500,Hardware & building materials stores,N03,Retail Sales,Misc Business,"Misc Business",Private Sector
G4600,Miscellaneous retail stores,N03,Retail Sales,Misc Business,"Misc Business",Private Sector
G4700,Catalog & mail order houses,N03,Retail Sales,Misc Business,"Misc Business",Private Sector
G4800,Direct sales,N03,Retail Sales,Misc Business,"Misc Business",Private Sector
G4850,Vending Machine Sales & Services,N03,Retail Sales,Misc Business,"Misc Business",Private Sector
G4900,Drug stores,N03,Retail Sales,Misc Business,"Misc Business",Private Sector
G5000,Services,N04,Misc Services,Misc Business,"Misc Business",Private Sector
G5100,Beauty & barber shops,N04,Misc Services,Misc Business,"Misc Business",Private Sector
G5200,Business services,N05,Business Services,Misc Business,"Misc Business",Private Sector
G5210,Advertising & public relations services,N05,Business Services,Misc Business,"Misc Business",Private Sector
G5220,Direct mail advertising services,N05,Business Services,Misc Business,"Misc Business",Private Sector
G5230,Outdoor advertising services,N05,Business Services,Misc Business,"Misc Business",Private Sector
G5240,"Commercial photography, art & graphic design",N05,Business Services,Misc Business,"Misc Business",Private Sector
G5250,Employment agencies,N05,Business Services,Misc Business,"Misc Business",Private Sector
G5260,Political consultants/advisers,N05,Business Services,Misc Business,"Misc Business",Private Sector
G5270,Management consultants & services,N05,Business Services,Misc Business,"Misc Business",Private Sector
G5280,Marketing research services,N05,Business Services,Misc Business,"Misc Business",Private Sector
G5290,Security services,N05,Business Services,Misc Business,"Misc Business",Private Sector
G5300,Equipment rental & leasing,N04,Misc Services,Misc Business,"Misc Business",Private Sector
G5400,Funeral services,N04,Misc Services,Misc Business,"Misc Business",Private Sector
G5500,Laundries & dry cleaners,N04,Misc Services,Misc Business,"Misc Business",Private Sector
G5600,Miscellaneous repair services,N04,Misc Services,Misc Business,"Misc Business",Private Sector
G5700,Pest control,N04,Misc Services,Misc Business,"Misc Business",Private Sector
G5800,Physical fitness centers,N04,Misc Services,Misc Business,"Misc Business",Private Sector
G6000,Recreation/Entertainment,N06,Recreation/Live Entertainment,Misc Business,"Misc Business",Private Sector
G6100,Amusement/recreation centers,N06,Recreation/Live Entertainment,Misc Business,"Misc Business",Private Sector
G6400,"Professional sports, arenas & related equip & svcs",N06,Recreation/Live Entertainment,Misc Business,"Misc Business",Private Sector
G6500,"Casinos, racetracks & gambling",N07,Casinos/Gambling,Misc Business,"Misc Business",Private Sector
G6550,Indian Gaming,N07,Casinos/Gambling,Misc Business,"Misc Business",Private Sector
G6700,Amusement parks,N06,Recreation/Live Entertainment,Misc Business,"Misc Business",Private Sector
G6800,Video rental,N04,Misc Services,Misc Business,"Misc Business",Private Sector
G7000,Correctional facilities constr & mgmt/for-profit,N12,Misc Business,Misc Business,"Misc Business",Private Sector
H0000,"Health, Education & Human Resources",H05,Misc Health,Health,"Health",Private Sector
H1000,Health professionals,H01,Health Professionals,Health,"Health",Private Sector
H1100,Physicians,H01,Health Professionals,Health,"Health",Private Sector
H1110,Psychiatrists & psychologists,H01,Health Professionals,Health,"Health",Private Sector
H1120,Optometrists & Ophthalmologists,H01,Health Professionals,Health,"Health",Private Sector
H1130,Other physician specialists,H01,Health Professionals,Health,"Health",Private Sector
H1400,Dentists,H01,Health Professionals,Health,"Health",Private Sector
H1500,Chiropractors,H01,Health Professionals,Health,"Health",Private Sector
H1700,Other non-physician health practitioners,H01,Health Professionals,Health,"Health",Private Sector
H1710,Nurses,H01,Health Professionals,Health,"Health",Private Sector
H1750,Pharmacists,H01,Health Professionals,Health,"Health",Private Sector
H2000,Health care institutions,H02,Hospitals/Nursing Homes,Health,"Health",Private Sector
H2100,Hospitals,H02,Hospitals/Nursing Homes,Health,"Health",Private Sector
H2200,Nursing homes,H02,Hospitals/Nursing Homes,Health,"Health",Private Sector
H2300,Drug & alcohol treatment hospitals,H02,Hospitals/Nursing Homes,Health,"Health",Private Sector
H3000,Health care services,H03,Health Services/HMOs,Health,"Health",Private Sector
H3100,Home care services,H03,Health Services/HMOs,Health,"Health",Private Sector
H3200,Outpatient health services (incl drug & alcohol),H03,Health Services/HMOs,Health,"Health",Private Sector
H3300,Optical services (glasses & contact lenses),H03,Health Services/HMOs,Health,"Health",Private Sector
H3400,Medical laboratories,H03,Health Services/HMOs,Health,"Health",Private Sector
H3500,AIDS treatment & testing,H03,Health Services/HMOs,Health,"Health",Private Sector
H3700,HMOs,H03,Health Services/HMOs,Health,"Health",Private Sector
H3800,Mental Health Services,H03,Health Services/HMOs,Health,"Health",Private Sector
H3900,Health care Consultants,H03,Health Services/HMOs,Health,"Health",Private Sector
H4000,Health care products,H04,Pharmaceuticals/Health Products,Health,"Health",Private Sector
H4100,Medical Devices & Supplies,H04,Pharmaceuticals/Health Products,Health,"Health",Private Sector
H4200,Personal health care products,H04,Pharmaceuticals/Health Products,Health,"Health",Private Sector
H4300,Pharmaceutical manufacturing,H04,Pharmaceuticals/Health Products,Health,"Health",Private Sector
H4400,Pharmaceutical wholesale,H04,Pharmaceuticals/Health Products,Health,"Health",Private Sector
H4500,Biotech products & research,H04,Pharmaceuticals/Health Products,Health,"Health",Private Sector
H4600,Nutritional & dietary supplements,H04,Pharmaceuticals/Health Products,Health,"Health",Private Sector
H4700,Pharmaceutical cannabis,H04,Pharmaceuticals/Health Products,Health,"Health",Private Sector
H5000,Education,W04,Education,Other,"Other",Public Sector
H5100,Schools & colleges,W04,Education,Other,"Other",Public Sector
H5150,Medical schools,W04,Education,Other,"Other",Public Sector
H5170,Law schools,W04,Education,Other,"Other",Public Sector
H5200,"Technical, business and vocational schools & svcs",W04,Education,Other,"Other",Public Sector
H5300,For-profit Education,W04,Education,Other,"Other",Public Sector
H6000,Welfare & Social Work,W07,Other,Other,"Other",Public Sector
J0000,Ideological & Single Issue PACs,Q10,Misc Issues,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J1000,General Ideological,Q10,Misc Issues,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J1100,Republican/Conservative,Q01,Republican/Conservative,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J1110,Christian Conservative,Q01,Republican/Conservative,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J1200,Democratic/Liberal,Q02,Democratic/Liberal,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J1300,Third-party committees,Q10,Misc Issues,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J2000,Leadership committees,Q03,Leadership PACs,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J2100,Democratic leadership PAC,Q03,Leadership PACs,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J2200,Republican leadership PAC,Q03,Leadership PACs,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J2300,"Democratic officials, candidates & former members",Q03,Leadership PACs,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J2400,"Republican officials, candidates & former members",Q03,Leadership PACs,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J2500,Non-Federal candidate committees,Q03,Leadership PACs,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J3000,Consumer groups,Q10,Misc Issues,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J4000,Fiscal & tax policy,Q10,Misc Issues,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J5000,Foreign policy,Q04,Foreign & Defense Policy,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J5100,Pro-Israel,Q05,Pro-Israel,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J5200,Anti-Castro,Q04,Foreign & Defense Policy,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J5300,Puerto Rico statehood policy,Q04,Foreign & Defense Policy,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J5400,Pro-Arab,Q04,Foreign & Defense Policy,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J6100,Anti-Guns,Q12,Gun Control,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J6200,Pro-Guns,Q13,Gun Rights,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J6500,Militias & Anti-Government Groups,Q10,Misc Issues,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J7000,Human Rights,Q09,Human Rights,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J7120,Abortion policy/Anti-Abortion,Q14,Abortion Policy/Anti-Abortion,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J7150,Abortion policy/Pro-Abortion Rights,Q15,Abortion Policy/Pro-Abortion Rights,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J7200,Elderly issues/Social Security,Q10,Misc Issues,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J7210,Legalization of Doctor-Assisted Suicide,Q10,Misc Issues,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J7300,Gay & lesbian rights & issues,Q09,Human Rights,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J7400,Women's issues,Q08,Women's Issues,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
