,Amount,Cycle,Name,Party,RealCode,Type
21,0.0,1992,,I,A,24F
22,0.0,1992,,I,A,24A
16,0.0,1992,,D,A,24K
23,0.0,1992,,I,A,24C
25,0.0,1992,,I,A,24H
26,0.0,1992,,I,A,24K
27,0.0,1992,,I,A,24P
28,0.0,1992,,I,A,24R
29,0.0,1992,,I,A,24Z
30,0.0,1992,,L,A,24E
24,0.0,1992,,I,A,24N
15,0.0,1992,,D,A,24H
14,0.0,1992,,D,A,24N
13,0.0,1992,,D,A,24C
4866,0.0,1992,, ,B,24F
4865,0.0,1992,, ,B,24E
0,0.0,1992,, ,A,24E
1,0.0,1992,, ,A,24F
2,0.0,1992,, ,A,24A
3,0.0,1992,, ,A,24C
4,0.0,1992,, ,A,24N
5,0.0,1992,, ,A,24H
6,0.0,1992,, ,A,24K
7,0.0,1992,, ,A,24P
8,0.0,1992,, ,A,24R
9,0.0,1992,, ,A,24Z
10,0.0,1992,,D,A,24E
11,0.0,1992,,D,A,24F
12,0.0,1992,,D,A,24A
446,0.0,1992,,L,C,24N
4903,0.0,1992,,L,B,24R
447,0.0,1992,,L,C,24H
449,0.0,1992,,L,C,24P
882,0.0,1992,,R,z,24Z
883,0.0,1992,,U,z,24E
884,0.0,1992,,U,z,24F
885,0.0,1992,,U,z,24A
886,0.0,1992,,U,z,24C
887,0.0,1992,,U,z,24N
881,0.0,1992,,R,z,24R
888,0.0,1992,,U,z,24H
890,0.0,1992,,U,z,24P
891,0.0,1992,,U,z,24R
892,0.0,1992,,U,z,24Z
1236,0.0,1992,, ,E,24E
1237,0.0,1992,, ,E,24F
1238,0.0,1992,, ,E,24A
889,0.0,1992,,U,z,24K
1239,0.0,1992,, ,E,24C
880,0.0,1992,,R,z,24P
878,0.0,1992,,R,z,24H
864,0.0,1992,,3,z,24F
865,0.0,1992,,3,z,24A
866,0.0,1992,,3,z,24C
867,0.0,1992,,3,z,24N
868,0.0,1992,,3,z,24H
869,0.0,1992,,3,z,24K
879,0.0,1992,,R,z,24K
870,0.0,1992,,3,z,24P
872,0.0,1992,,3,z,24Z
873,0.0,1992,,R,z,24E
874,0.0,1992,,R,z,24F
875,0.0,1992,,R,z,24A
876,0.0,1992,,R,z,24C
877,0.0,1992,,R,z,24N
871,0.0,1992,,3,z,24R
863,0.0,1992,,3,z,24E
1240,0.0,1992,, ,E,24N
1242,0.0,1992,, ,E,24P
1261,0.0,1992,,I,E,24K
1262,0.0,1992,,I,E,24P
1263,0.0,1992,,I,E,24R
1264,0.0,1992,,I,E,24Z
1265,0.0,1992,,L,E,24E
1266,0.0,1992,,L,E,24F
1260,0.0,1992,,I,E,24H
1267,0.0,1992,,L,E,24A
1269,0.0,1992,,L,E,24N
1270,0.0,1992,,L,E,24H
1271,0.0,1992,,L,E,24K
1272,0.0,1992,,L,E,24P
1273,0.0,1992,,L,E,24R
1274,0.0,1992,,L,E,24Z
1268,0.0,1992,,L,E,24C
1241,0.0,1992,, ,E,24H
1259,0.0,1992,,I,E,24N
1257,0.0,1992,,I,E,24A
1243,0.0,1992,, ,E,24R
1244,0.0,1992,, ,E,24Z
1245,0.0,1992,,D,E,24E
1246,0.0,1992,,D,E,24F
1247,0.0,1992,,D,E,24A
1248,0.0,1992,,D,E,24C
1258,0.0,1992,,I,E,24C
1249,0.0,1992,,D,E,24N
1251,0.0,1992,,D,E,24K
1252,0.0,1992,,D,E,24P
1253,0.0,1992,,D,E,24R
1254,0.0,1992,,D,E,24Z
1255,0.0,1992,,I,E,24E
1256,0.0,1992,,I,E,24F
1250,0.0,1992,,D,E,24H
862,0.0,1992,,L,z,24Z
861,0.0,1992,,L,z,24R
860,0.0,1992,,L,z,24P
468,0.0,1992,,R,C,24K
469,0.0,1992,,R,C,24P
470,0.0,1992,,R,C,24R
471,0.0,1992,,R,C,24Z
472,0.0,1992,,U,C,24E
473,0.0,1992,,U,C,24F
467,0.0,1992,,R,C,24H
474,0.0,1992,,U,C,24A
476,0.0,1992,,U,C,24N
477,0.0,1992,,U,C,24H
478,0.0,1992,,U,C,24K
479,0.0,1992,,U,C,24P
480,0.0,1992,,U,C,24R
481,0.0,1992,,U,C,24Z
475,0.0,1992,,U,C,24C
823,0.0,1992,, ,z,24E
466,0.0,1992,,R,C,24N
464,0.0,1992,,R,C,24A
450,0.0,1992,,L,C,24R
451,0.0,1992,,L,C,24Z
452,0.0,1992,,3,C,24E
453,0.0,1992,,3,C,24F
454,0.0,1992,,3,C,24A
455,0.0,1992,,3,C,24C
465,0.0,1992,,R,C,24C
456,0.0,1992,,3,C,24N
458,0.0,1992,,3,C,24K
459,0.0,1992,,3,C,24P
460,0.0,1992,,3,C,24R
461,0.0,1992,,3,C,24Z
462,0.0,1992,,R,C,24E
463,0.0,1992,,R,C,24F
457,0.0,1992,,3,C,24H
824,0.0,1992,, ,z,24F
825,0.0,1992,, ,z,24A
826,0.0,1992,, ,z,24C
846,0.0,1992,,I,z,24C
847,0.0,1992,,I,z,24N
848,0.0,1992,,I,z,24H
849,0.0,1992,,I,z,24K
850,0.0,1992,,I,z,24P
851,0.0,1992,,I,z,24R
845,0.0,1992,,I,z,24A
852,0.0,1992,,I,z,24Z
854,0.0,1992,,L,z,24F
855,0.0,1992,,L,z,24A
856,0.0,1992,,L,z,24C
857,0.0,1992,,L,z,24N
858,0.0,1992,,L,z,24H
859,0.0,1992,,L,z,24K
853,0.0,1992,,L,z,24E
844,0.0,1992,,I,z,24F
843,0.0,1992,,I,z,24E
842,0.0,1992,,D,z,24Z
827,0.0,1992,, ,z,24N
828,0.0,1992,, ,z,24H
829,0.0,1992,, ,z,24K
830,0.0,1992,, ,z,24P
831,0.0,1992,, ,z,24R
832,0.0,1992,, ,z,24Z
833,0.0,1992,,D,z,24E
834,0.0,1992,,D,z,24F
835,0.0,1992,,D,z,24A
836,0.0,1992,,D,z,24C
837,0.0,1992,,D,z,24N
838,0.0,1992,,D,z,24H
839,0.0,1992,,D,z,24K
840,0.0,1992,,D,z,24P
841,0.0,1992,,D,z,24R
448,0.0,1992,,L,C,24K
1275,0.0,1992,,3,E,24E
4904,0.0,1992,,L,B,24Z
4906,0.0,1992,,3,B,24F
6115,0.0,1992,,L,X,24F
6114,0.0,1992,,L,X,24E
6113,0.0,1992,,I,X,24Z
6112,0.0,1992,,I,X,24R
6111,0.0,1992,,I,X,24P
6110,0.0,1992,,I,X,24K
6116,0.0,1992,,L,X,24A
6109,0.0,1992,,I,X,24H
6107,0.0,1992,,I,X,24C
6106,0.0,1992,,I,X,24A
6105,0.0,1992,,I,X,24F
6104,0.0,1992,,I,X,24E
6103,0.0,1992,,D,X,24Z
6102,0.0,1992,,D,X,24R
6108,0.0,1992,,I,X,24N
6101,0.0,1992,,D,X,24P
6117,0.0,1992,,L,X,24C
6119,0.0,1992,,L,X,24H
6133,0.0,1992,,3,X,24Z
6132,0.0,1992,,3,X,24R
6131,0.0,1992,,3,X,24P
6130,0.0,1992,,3,X,24K
6129,0.0,1992,,3,X,24H
6128,0.0,1992,,3,X,24N
6118,0.0,1992,,L,X,24N
6127,0.0,1992,,3,X,24C
6125,0.0,1992,,3,X,24F
6124,0.0,1992,,3,X,24E
6123,0.0,1992,,L,X,24Z
6122,0.0,1992,,L,X,24R
6121,0.0,1992,,L,X,24P
6120,0.0,1992,,L,X,24K
6126,0.0,1992,,3,X,24A
6134,0.0,1992,,R,X,24E
6100,0.0,1992,,D,X,24K
6098,0.0,1992,,D,X,24N
5755,0.0,1992,,U,Y,24H
5754,0.0,1992,,U,Y,24N
5753,0.0,1992,,U,Y,24C
5752,0.0,1992,,U,Y,24A
5751,0.0,1992,,U,Y,24F
5750,0.0,1992,,U,Y,24E
5756,0.0,1992,,U,Y,24K
5749,0.0,1992,,R,Y,24Z
5747,0.0,1992,,R,Y,24P
5746,0.0,1992,,R,Y,24K
5745,0.0,1992,,R,Y,24H
5744,0.0,1992,,R,Y,24N
5743,0.0,1992,,R,Y,24C
5742,0.0,1992,,R,Y,24A
5748,0.0,1992,,R,Y,24R
6099,0.0,1992,,D,X,24H
5757,0.0,1992,,U,Y,24P
5759,0.0,1992,,U,Y,24Z
6097,0.0,1992,,D,X,24C
6096,0.0,1992,,D,X,24A
6095,0.0,1992,,D,X,24F
6094,0.0,1992,,D,X,24E
6093,0.0,1992,, ,X,24Z
6092,0.0,1992,, ,X,24R
5758,0.0,1992,,U,Y,24R
6091,0.0,1992,, ,X,24P
6089,0.0,1992,, ,X,24H
6088,0.0,1992,, ,X,24N
6087,0.0,1992,, ,X,24C
6086,0.0,1992,, ,X,24A
6085,0.0,1992,, ,X,24F
6084,0.0,1992,, ,X,24E
6090,0.0,1992,, ,X,24K
6135,0.0,1992,,R,X,24F
6136,0.0,1992,,R,X,24A
6137,0.0,1992,,R,X,24C
6534,0.0,1992,,3,Z,24A
6533,0.0,1992,,3,Z,24F
6532,0.0,1992,,3,Z,24E
6531,0.0,1992,,L,Z,24Z
6530,0.0,1992,,L,Z,24R
6529,0.0,1992,,L,Z,24P
6535,0.0,1992,,3,Z,24N
6528,0.0,1992,,L,Z,24K
6526,0.0,1992,,L,Z,24N
6525,0.0,1992,,L,Z,24A
6524,0.0,1992,,L,Z,24F
6523,0.0,1992,,L,Z,24E
6522,0.0,1992,,I,Z,24Z
6521,0.0,1992,,I,Z,24R
6527,0.0,1992,,L,Z,24H
6520,0.0,1992,,I,Z,24P
6536,0.0,1992,,3,Z,24H
6538,0.0,1992,,3,Z,24R
6552,0.0,1992,,U,Z,24R
6551,0.0,1992,,U,Z,24P
6550,0.0,1992,,U,Z,24K
6549,0.0,1992,,U,Z,24H
6548,0.0,1992,,U,Z,24N
6547,0.0,1992,,U,Z,24C
6537,0.0,1992,,3,Z,24P
6546,0.0,1992,,U,Z,24A
6544,0.0,1992,,U,Z,24E
6543,0.0,1992,,R,Z,24R
6542,0.0,1992,,R,Z,24P
6541,0.0,1992,,R,Z,24H
6540,0.0,1992,,R,Z,24N
6539,0.0,1992,,R,Z,24F
6545,0.0,1992,,U,Z,24F
6519,0.0,1992,,I,Z,24H
6518,0.0,1992,,I,Z,24N
6517,0.0,1992,,I,Z,24C
6151,0.0,1992,,U,X,24P
6150,0.0,1992,,U,X,24K
6149,0.0,1992,,U,X,24H
6148,0.0,1992,,U,X,24N
6147,0.0,1992,,U,X,24C
6146,0.0,1992,,U,X,24A
6152,0.0,1992,,U,X,24R
6145,0.0,1992,,U,X,24F
6143,0.0,1992,,R,X,24Z
6142,0.0,1992,,R,X,24R
6141,0.0,1992,,R,X,24P
6140,0.0,1992,,R,X,24K
6139,0.0,1992,,R,X,24H
6138,0.0,1992,,R,X,24N
6144,0.0,1992,,U,X,24E
6153,0.0,1992,,U,X,24Z
6500,0.0,1992,, ,Z,24E
6501,0.0,1992,, ,Z,24F
6516,0.0,1992,,I,Z,24A
6515,0.0,1992,,I,Z,24F
6514,0.0,1992,,D,Z,24R
6513,0.0,1992,,D,Z,24H
6512,0.0,1992,,D,Z,24N
6511,0.0,1992,,D,Z,24A
6510,0.0,1992,,D,Z,24F
6509,0.0,1992,, ,Z,24Z
6508,0.0,1992,, ,Z,24R
6507,0.0,1992,, ,Z,24P
6506,0.0,1992,, ,Z,24K
6505,0.0,1992,, ,Z,24H
6504,0.0,1992,, ,Z,24N
6503,0.0,1992,, ,Z,24C
6502,0.0,1992,, ,Z,24A
5741,0.0,1992,,R,Y,24F
4905,0.0,1992,,3,B,24E
5740,0.0,1992,,R,Y,24E
5738,0.0,1992,,3,Y,24R
5302,0.0,1992,,I,T,24F
5301,0.0,1992,,I,T,24E
5300,0.0,1992,,D,T,24Z
5299,0.0,1992,,D,T,24R
5298,0.0,1992,,D,T,24P
5297,0.0,1992,,D,T,24K
5303,0.0,1992,,I,T,24A
5296,0.0,1992,,D,T,24H
5294,0.0,1992,,D,T,24C
5293,0.0,1992,,D,T,24A
5292,0.0,1992,,D,T,24F
5291,0.0,1992,,D,T,24E
5290,0.0,1992,, ,T,24Z
5289,0.0,1992,, ,T,24R
5295,0.0,1992,,D,T,24N
5288,0.0,1992,, ,T,24P
5304,0.0,1992,,I,T,24C
5306,0.0,1992,,I,T,24H
5320,0.0,1992,,L,T,24Z
5319,0.0,1992,,L,T,24R
5318,0.0,1992,,L,T,24P
5317,0.0,1992,,L,T,24K
5316,0.0,1992,,L,T,24H
5315,0.0,1992,,L,T,24N
5305,0.0,1992,,I,T,24N
5314,0.0,1992,,L,T,24C
5312,0.0,1992,,L,T,24F
5311,0.0,1992,,L,T,24E
5310,0.0,1992,,I,T,24Z
5309,0.0,1992,,I,T,24R
5308,0.0,1992,,I,T,24P
5307,0.0,1992,,I,T,24K
5313,0.0,1992,,L,T,24A
5321,0.0,1992,,3,T,24E
5287,0.0,1992,, ,T,24K
5285,0.0,1992,, ,T,24N
4920,0.0,1992,,R,B,24H
4919,0.0,1992,,R,B,24N
4918,0.0,1992,,R,B,24C
4917,0.0,1992,,R,B,24A
4916,0.0,1992,,R,B,24F
4915,0.0,1992,,R,B,24E
4921,0.0,1992,,R,B,24K
4914,0.0,1992,,3,B,24Z
4912,0.0,1992,,3,B,24P
4911,0.0,1992,,3,B,24K
4910,0.0,1992,,3,B,24H
4909,0.0,1992,,3,B,24N
4908,0.0,1992,,3,B,24C
4907,0.0,1992,,3,B,24A
4913,0.0,1992,,3,B,24R
5286,0.0,1992,, ,T,24H
4922,0.0,1992,,R,B,24P
4924,0.0,1992,,R,B,24Z
5284,0.0,1992,, ,T,24C
5283,0.0,1992,, ,T,24A
5282,0.0,1992,, ,T,24F
5281,0.0,1992,, ,T,24E
4934,0.0,1992,,U,B,24Z
4933,0.0,1992,,U,B,24R
4923,0.0,1992,,R,B,24R
4932,0.0,1992,,U,B,24P
4930,0.0,1992,,U,B,24H
4929,0.0,1992,,U,B,24N
4928,0.0,1992,,U,B,24C
4927,0.0,1992,,U,B,24A
4926,0.0,1992,,U,B,24F
4925,0.0,1992,,U,B,24E
4931,0.0,1992,,U,B,24K
5322,0.0,1992,,3,T,24F
5323,0.0,1992,,3,T,24A
5324,0.0,1992,,3,T,24C
5719,0.0,1992,,I,Y,24Z
5718,0.0,1992,,I,Y,24R
5717,0.0,1992,,I,Y,24P
5716,0.0,1992,,I,Y,24K
5715,0.0,1992,,I,Y,24H
5714,0.0,1992,,I,Y,24N
5720,0.0,1992,,L,Y,24E
5713,0.0,1992,,I,Y,24C
5711,0.0,1992,,I,Y,24F
5710,0.0,1992,,I,Y,24E
5709,0.0,1992,,D,Y,24Z
5708,0.0,1992,,D,Y,24R
5707,0.0,1992,,D,Y,24P
5706,0.0,1992,,D,Y,24K
5712,0.0,1992,,I,Y,24A
5705,0.0,1992,,D,Y,24H
5721,0.0,1992,,L,Y,24F
5723,0.0,1992,,L,Y,24C
5737,0.0,1992,,3,Y,24P
5736,0.0,1992,,3,Y,24K
5735,0.0,1992,,3,Y,24H
5734,0.0,1992,,3,Y,24N
5733,0.0,1992,,3,Y,24C
5732,0.0,1992,,3,Y,24A
5722,0.0,1992,,L,Y,24A
5731,0.0,1992,,3,Y,24F
5729,0.0,1992,,L,Y,24Z
5728,0.0,1992,,L,Y,24R
5727,0.0,1992,,L,Y,24P
5726,0.0,1992,,L,Y,24K
5725,0.0,1992,,L,Y,24H
5724,0.0,1992,,L,Y,24N
5730,0.0,1992,,3,Y,24E
5704,0.0,1992,,D,Y,24N
5703,0.0,1992,,D,Y,24C
5702,0.0,1992,,D,Y,24A
5338,0.0,1992,,R,T,24P
5337,0.0,1992,,R,T,24K
5336,0.0,1992,,R,T,24H
5335,0.0,1992,,R,T,24N
5334,0.0,1992,,R,T,24C
5333,0.0,1992,,R,T,24A
5339,0.0,1992,,R,T,24R
5332,0.0,1992,,R,T,24F
5330,0.0,1992,,3,T,24Z
5329,0.0,1992,,3,T,24R
5328,0.0,1992,,3,T,24P
5327,0.0,1992,,3,T,24K
5326,0.0,1992,,3,T,24H
5325,0.0,1992,,3,T,24N
5331,0.0,1992,,R,T,24E
5340,0.0,1992,,R,T,24Z
5341,0.0,1992,,U,T,24E
5342,0.0,1992,,U,T,24F
5701,0.0,1992,,D,Y,24F
5700,0.0,1992,,D,Y,24E
5699,0.0,1992,, ,Y,24R
5698,0.0,1992,, ,Y,24P
5697,0.0,1992,, ,Y,24H
5696,0.0,1992,, ,Y,24N
5695,0.0,1992,, ,Y,24C
5350,0.0,1992,,U,T,24Z
5349,0.0,1992,,U,T,24R
5348,0.0,1992,,U,T,24P
5347,0.0,1992,,U,T,24K
5346,0.0,1992,,U,T,24H
5345,0.0,1992,,U,T,24N
5344,0.0,1992,,U,T,24C
5343,0.0,1992,,U,T,24A
5739,0.0,1992,,3,Y,24Z
1276,0.0,1992,,3,E,24F
1277,0.0,1992,,3,E,24A
1278,0.0,1992,,3,E,24C
3296,0.0,1992,, ,K,24K
3297,0.0,1992,, ,K,24P
3298,0.0,1992,, ,K,24R
3299,0.0,1992,, ,K,24Z
3300,0.0,1992,,D,K,24E
3301,0.0,1992,,D,K,24F
3295,0.0,1992,, ,K,24H
3302,0.0,1992,,D,K,24A
3304,0.0,1992,,D,K,24N
3305,0.0,1992,,D,K,24H
3306,0.0,1992,,D,K,24K
3307,0.0,1992,,D,K,24P
3308,0.0,1992,,D,K,24R
3309,0.0,1992,,D,K,24Z
3303,0.0,1992,,D,K,24C
3310,0.0,1992,,I,K,24E
3294,0.0,1992,, ,K,24N
3292,0.0,1992,, ,K,24A
2938,0.0,1992,,R,H,24R
2939,0.0,1992,,R,H,24Z
2940,0.0,1992,,U,H,24E
2941,0.0,1992,,U,H,24F
2942,0.0,1992,,U,H,24A
2943,0.0,1992,,U,H,24C
3293,0.0,1992,, ,K,24C
2944,0.0,1992,,U,H,24N
2946,0.0,1992,,U,H,24K
2947,0.0,1992,,U,H,24P
2948,0.0,1992,,U,H,24R
2949,0.0,1992,,U,H,24Z
3290,0.0,1992,, ,K,24E
3291,0.0,1992,, ,K,24F
2945,0.0,1992,,U,H,24H
2937,0.0,1992,,R,H,24P
3311,0.0,1992,,I,K,24F
3313,0.0,1992,,I,K,24C
3332,0.0,1992,,3,K,24A
3333,0.0,1992,,3,K,24C
3334,0.0,1992,,3,K,24N
3335,0.0,1992,,3,K,24H
3336,0.0,1992,,3,K,24K
3337,0.0,1992,,3,K,24P
3331,0.0,1992,,3,K,24F
3338,0.0,1992,,3,K,24R
3340,0.0,1992,,R,K,24E
3341,0.0,1992,,R,K,24F
3342,0.0,1992,,R,K,24A
3343,0.0,1992,,R,K,24C
3344,0.0,1992,,R,K,24N
3345,0.0,1992,,R,K,24H
3339,0.0,1992,,3,K,24Z
3312,0.0,1992,,I,K,24A
3330,0.0,1992,,3,K,24E
3328,0.0,1992,,L,K,24R
3314,0.0,1992,,I,K,24N
3315,0.0,1992,,I,K,24H
3316,0.0,1992,,I,K,24K
3317,0.0,1992,,I,K,24P
3318,0.0,1992,,I,K,24R
3319,0.0,1992,,I,K,24Z
3329,0.0,1992,,L,K,24Z
3320,0.0,1992,,L,K,24E
3322,0.0,1992,,L,K,24A
3323,0.0,1992,,L,K,24C
3324,0.0,1992,,L,K,24N
3325,0.0,1992,,L,K,24H
3326,0.0,1992,,L,K,24K
3327,0.0,1992,,L,K,24P
3321,0.0,1992,,L,K,24F
2936,0.0,1992,,R,H,24K
2935,0.0,1992,,R,H,24H
2934,0.0,1992,,R,H,24N
2883,0.0,1992,, ,H,24C
2884,0.0,1992,, ,H,24N
2885,0.0,1992,, ,H,24H
2886,0.0,1992,, ,H,24K
2887,0.0,1992,, ,H,24P
2888,0.0,1992,, ,H,24R
2882,0.0,1992,, ,H,24A
2889,0.0,1992,, ,H,24Z
2891,0.0,1992,,D,H,24F
2892,0.0,1992,,D,H,24A
2893,0.0,1992,,D,H,24C
2894,0.0,1992,,D,H,24N
2895,0.0,1992,,D,H,24H
2896,0.0,1992,,D,H,24K
2890,0.0,1992,,D,H,24E
2897,0.0,1992,,D,H,24P
2881,0.0,1992,, ,H,24F
2541,0.0,1992,,U,F,24Z
2527,0.0,1992,,R,F,24H
2528,0.0,1992,,R,F,24K
2529,0.0,1992,,R,F,24P
2530,0.0,1992,,R,F,24R
2531,0.0,1992,,R,F,24Z
2532,0.0,1992,,U,F,24E
2880,0.0,1992,, ,H,24E
2533,0.0,1992,,U,F,24F
2535,0.0,1992,,U,F,24C
2536,0.0,1992,,U,F,24N
2537,0.0,1992,,U,F,24H
2538,0.0,1992,,U,F,24K
2539,0.0,1992,,U,F,24P
2540,0.0,1992,,U,F,24R
2534,0.0,1992,,U,F,24A
2898,0.0,1992,,D,H,24R
2899,0.0,1992,,D,H,24Z
2900,0.0,1992,,I,H,24E
2920,0.0,1992,,3,H,24E
2921,0.0,1992,,3,H,24F
2922,0.0,1992,,3,H,24A
2923,0.0,1992,,3,H,24C
2924,0.0,1992,,3,H,24N
2925,0.0,1992,,3,H,24H
2919,0.0,1992,,L,H,24Z
2926,0.0,1992,,3,H,24K
2928,0.0,1992,,3,H,24R
2929,0.0,1992,,3,H,24Z
2930,0.0,1992,,R,H,24E
2931,0.0,1992,,R,H,24F
2932,0.0,1992,,R,H,24A
2933,0.0,1992,,R,H,24C
2927,0.0,1992,,3,H,24P
2918,0.0,1992,,L,H,24R
2917,0.0,1992,,L,H,24P
2916,0.0,1992,,L,H,24K
2901,0.0,1992,,I,H,24F
2902,0.0,1992,,I,H,24A
2903,0.0,1992,,I,H,24C
2904,0.0,1992,,I,H,24N
2905,0.0,1992,,I,H,24H
2906,0.0,1992,,I,H,24K
2907,0.0,1992,,I,H,24P
2908,0.0,1992,,I,H,24R
2909,0.0,1992,,I,H,24Z
2910,0.0,1992,,L,H,24E
2911,0.0,1992,,L,H,24F
2912,0.0,1992,,L,H,24A
2913,0.0,1992,,L,H,24C
2914,0.0,1992,,L,H,24N
2915,0.0,1992,,L,H,24H
3346,0.0,1992,,R,K,24K
2526,0.0,1992,,R,F,24N
3347,0.0,1992,,R,K,24P
3349,0.0,1992,,R,K,24Z
4094,0.0,1992,,R,M,24F
4093,0.0,1992,,R,M,24E
4092,0.0,1992,,3,M,24Z
4091,0.0,1992,,3,M,24R
4090,0.0,1992,,3,M,24P
4089,0.0,1992,,3,M,24K
4095,0.0,1992,,R,M,24A
4088,0.0,1992,,3,M,24H
4086,0.0,1992,,3,M,24C
4043,0.0,1992,, ,M,24E
4044,0.0,1992,, ,M,24F
4045,0.0,1992,, ,M,24A
4046,0.0,1992,, ,M,24C
4047,0.0,1992,, ,M,24N
4087,0.0,1992,,3,M,24N
4048,0.0,1992,, ,M,24H
4096,0.0,1992,,R,M,24C
4098,0.0,1992,,R,M,24H
4112,0.0,1992,,U,M,24Z
4111,0.0,1992,,U,M,24R
4110,0.0,1992,,U,M,24P
4109,0.0,1992,,U,M,24K
4108,0.0,1992,,U,M,24H
4107,0.0,1992,,U,M,24N
4097,0.0,1992,,R,M,24N
4106,0.0,1992,,U,M,24C
4104,0.0,1992,,U,M,24F
4103,0.0,1992,,U,M,24E
4102,0.0,1992,,R,M,24Z
4101,0.0,1992,,R,M,24R
4100,0.0,1992,,R,M,24P
4099,0.0,1992,,R,M,24K
4105,0.0,1992,,U,M,24A
3761,0.0,1992,,U,J,24Z
4049,0.0,1992,, ,M,24K
4051,0.0,1992,, ,M,24R
4070,0.0,1992,,I,M,24P
4071,0.0,1992,,I,M,24R
4072,0.0,1992,,I,M,24Z
4073,0.0,1992,,L,M,24E
4074,0.0,1992,,L,M,24F
4075,0.0,1992,,L,M,24A
4069,0.0,1992,,I,M,24K
4076,0.0,1992,,L,M,24C
4078,0.0,1992,,L,M,24H
4079,0.0,1992,,L,M,24K
4080,0.0,1992,,L,M,24P
4081,0.0,1992,,L,M,24R
4082,0.0,1992,,L,M,24Z
