,index,Cycle,Party,Type,Catname,Amount,Amount,Amount
398,398,2008,R,PACs,Merchant marine & longshoremen unions,1000,1,1.0
399,399,2008,R,PACs,Metal mining & processing,1000,1,1.0
400,400,2008,R,PACs,Milk & dairy producers,9350,5,0.2
401,401,2008,R,PACs,Mining unions,-1000,1,1.0
402,402,2008,R,PACs,Minority/Ethnic Groups,1000,1,1.0
403,403,2008,R,PACs,Miscellaneous retail stores,1000,1,1.0
404,404,2008,R,PACs,Mortgage bankers and brokers,1500,2,0.5
405,405,2008,R,PACs,"Motorcycles, snowmobiles & other motorized vehicle",300,1,1.0
406,406,2008,R,PACs,Natural Gas transmission & distribution,750,2,0.5
407,407,2008,R,PACs,Non-Federal candidate committees,6000,2,0.5
408,408,2008,R,PACs,Nurses,1500,1,1.0
409,409,2008,R,PACs,Nursing homes,1000,1,1.0
410,410,2008,R,PACs,Nutritional & dietary supplements,500,1,1.0
411,411,2008,R,PACs,"Oilfield service, equipment & exploration",1000,3,0.333333333333
412,412,2008,R,PACs,Optical services (glasses & contact lenses),500,1,1.0
413,413,2008,R,PACs,Optometrists & Ophthalmologists,3500,3,0.333333333333
414,414,2008,R,PACs,"Other commodities (incl rice, peanuts, honey)",250,1,1.0
415,415,2008,R,PACs,Other physician specialists,11000,9,0.111111111111
416,416,2008,R,PACs,Other single-issue or ideological groups,3745,5,0.2
417,417,2008,R,PACs,Petroleum refining & marketing,1000,1,1.0
418,418,2008,R,PACs,Pharmaceutical manufacturing,1500,7,0.142857142857
419,419,2008,R,PACs,Pharmaceutical wholesale,3500,2,0.5
420,420,2008,R,PACs,Physicians,7000,3,0.333333333333
421,421,2008,R,PACs,Pleasure boats,1000,1,1.0
422,422,2008,R,PACs,"Plumbing, heating & air conditioning",4800,2,0.5
423,423,2008,R,PACs,Police & firefighters unions & associations,5500,2,0.5
424,424,2008,R,PACs,Power plant construction & equipment,1000,1,1.0
425,425,2008,R,PACs,Private Equity & Investment Firms,200,1,1.0
426,426,2008,R,PACs,Pro-Guns,-1345,7,0.142857142857
427,427,2008,R,PACs,Pro-business associations,1000,1,1.0
428,428,2008,R,PACs,Property & casualty insurance,7500,5,0.2
429,429,2008,R,PACs,"Public works, industrial & commercial construction",6000,2,0.5
430,430,2008,R,PACs,Railroad unions,2000,1,1.0
431,431,2008,R,PACs,Railroads,-1000,3,0.333333333333
432,432,2008,R,PACs,Real Estate developers & subdividers,3000,2,0.5
433,433,2008,R,PACs,Real estate agents,10000,2,0.5
434,434,2008,R,PACs,Republican Candidate Committees,25000,23,0.0434782608696
435,435,2008,R,PACs,Republican Joint Candidate Committee,640,1,1.0
436,436,2008,R,PACs,Republican Party Committees,50255,36,0.0277777777778
437,437,2008,R,PACs,Republican leadership PAC,109069,55,0.0181818181818
438,438,2008,R,PACs,"Republican officials, candidates & former members",7900,4,0.25
439,439,2008,R,PACs,Republican/Conservative,42223,28,0.0357142857143
440,440,2008,R,PACs,Residential construction,2000,1,1.0
441,441,2008,R,PACs,Restaurants & drinking establishments,12500,5,0.2
442,442,2008,R,PACs,Rural electric cooperatives,4000,2,0.5
443,443,2008,R,PACs,Sea transport,1000,1,1.0
444,444,2008,R,PACs,Security brokers & investment companies,5500,3,0.333333333333
445,445,2008,R,PACs,Steel,1000,1,1.0
446,446,2008,R,PACs,"Stone, clay, glass & concrete products",2000,3,0.333333333333
447,447,2008,R,PACs,Student loan companies,-5000,1,1.0
448,448,2008,R,PACs,Sugar cane & sugar beets,1500,2,0.5
449,449,2008,R,PACs,Teachers unions,37,1,1.0
450,450,2008,R,PACs,Telecommunications,2050,3,0.333333333333
451,451,2008,R,PACs,Telephone utilities,-1000,1,1.0
452,452,2008,R,PACs,Third-Party Party Committees,250,1,1.0
453,453,2008,R,PACs,Third-party committees,451,2,0.5
454,454,2008,R,PACs,Title insurance & title abstract offices,3000,2,0.5
455,455,2008,R,PACs,Tobacco & Tobacco products,8000,4,0.25
456,456,2008,R,PACs,Toiletries & cosmetics,-2000,1,1.0
457,457,2008,R,PACs,Transportation unions,1000,1,1.0
458,458,2008,R,PACs,Trial lawyers & law firms,7500,2,0.5
459,459,2008,R,PACs,Trucking companies & services,1500,1,1.0
460,460,2008,R,PACs,US Postal Service unions & associations,7000,3,0.333333333333
461,461,2008,R,PACs,Unknown,1517,3,0.333333333333
462,462,2008,R,PACs,"Vegetables, fruits and tree nut",4400,2,0.5
463,463,2008,R,PACs,Vendors,1000,1,1.0
464,464,2008,R,PACs,Women's issues,147,2,0.5
