,Amount,Cycle,Destination,Party,RealCode
23004,0.0,1992,Cand,I,F1300
22812,0.0,1992,Cand,I,D2000
23316,0.0,1992,Cmte,U,X7000
23363,0.0,1992,Cmte, ,J6100
23692,0.0,1992,Cmte,L,C6100
23691,0.0,1992,Cand,I,C6100
23690,0.0,1992,Cmte,I,C6100
23689,0.0,1992,Cand,D,C6100
23688,0.0,1992,Cmte,D,C6100
23687,0.0,1992,Cand, ,C6100
23686,0.0,1992,Cmte, ,C6100
23609,0.0,1992,Cand,U,J9100
23608,0.0,1992,Cmte,U,J9100
23607,0.0,1992,Cand,R,J9100
23606,0.0,1992,Cmte,R,J9100
23605,0.0,1992,Cand,3,J9100
23604,0.0,1992,Cmte,3,J9100
23603,0.0,1992,Cand,L,J9100
23602,0.0,1992,Cmte,L,J9100
23693,0.0,1992,Cand,L,C6100
23694,0.0,1992,Cmte,3,C6100
23695,0.0,1992,Cand,3,C6100
23696,0.0,1992,Cmte,R,C6100
23776,0.0,1992,Cmte,U,G1200
23775,0.0,1992,Cand,R,G1200
23774,0.0,1992,Cmte,R,G1200
23773,0.0,1992,Cand,3,G1200
23772,0.0,1992,Cmte,3,G1200
23771,0.0,1992,Cand,L,G1200
23770,0.0,1992,Cmte,L,G1200
23601,0.0,1992,Cand,I,J9100
23769,0.0,1992,Cand,I,G1200
23767,0.0,1992,Cand,D,G1200
23766,0.0,1992,Cmte,D,G1200
23765,0.0,1992,Cand, ,G1200
23764,0.0,1992,Cmte, ,G1200
23699,0.0,1992,Cand,U,C6100
23698,0.0,1992,Cmte,U,C6100
23697,0.0,1992,Cand,R,C6100
23768,0.0,1992,Cmte,I,G1200
23317,0.0,1992,Cand,U,X7000
23600,0.0,1992,Cmte,I,J9100
23598,0.0,1992,Cmte,D,J9100
23451,0.0,1992,Cand,D,b1000
23450,0.0,1992,Cmte,D,b1000
23449,0.0,1992,Cand, ,b1000
23448,0.0,1992,Cmte, ,b1000
23374,0.0,1992,Cand,U,J6100
23373,0.0,1992,Cmte,U,J6100
23372,0.0,1992,Cand,R,J6100
23371,0.0,1992,Cand,3,J6100
23370,0.0,1992,Cmte,3,J6100
23369,0.0,1992,Cand,L,J6100
23368,0.0,1992,Cmte,L,J6100
23367,0.0,1992,Cand,I,J6100
23366,0.0,1992,Cmte,I,J6100
23365,0.0,1992,Cmte,D,J6100
23364,0.0,1992,Cand, ,J6100
23452,0.0,1992,Cmte,I,b1000
23453,0.0,1992,Cand,I,b1000
23454,0.0,1992,Cmte,L,b1000
23455,0.0,1992,Cand,L,b1000
23597,0.0,1992,Cand, ,J9100
23596,0.0,1992,Cmte, ,J9100
23549,0.0,1992,Cand,U,F1400
23548,0.0,1992,Cmte,U,F1400
23547,0.0,1992,Cmte,3,F1400
23546,0.0,1992,Cmte,L,F1400
23545,0.0,1992,Cand,I,F1400
23599,0.0,1992,Cand,D,J9100
23544,0.0,1992,Cmte,I,F1400
23542,0.0,1992,Cmte, ,F1400
23461,0.0,1992,Cand,U,b1000
23460,0.0,1992,Cmte,U,b1000
23459,0.0,1992,Cand,R,b1000
23458,0.0,1992,Cmte,R,b1000
23457,0.0,1992,Cand,3,b1000
23456,0.0,1992,Cmte,3,b1000
23543,0.0,1992,Cand, ,F1400
22811,0.0,1992,Cmte,I,D2000
22810,0.0,1992,Cand, ,D2000
22809,0.0,1992,Cmte, ,D2000
22077,0.0,1992,Cand, ,M5100
22076,0.0,1992,Cmte, ,M5100
22028,0.0,1992,Cand,U,B3600
22027,0.0,1992,Cmte,U,B3600
22026,0.0,1992,Cand,L,B3600
22025,0.0,1992,Cmte,L,B3600
22024,0.0,1992,Cand,I,B3600
22023,0.0,1992,Cmte,I,B3600
22022,0.0,1992,Cand, ,B3600
22021,0.0,1992,Cmte, ,B3600
21950,0.0,1992,Cand,U,JD100
21949,0.0,1992,Cmte,U,JD100
21948,0.0,1992,Cmte,R,JD100
21947,0.0,1992,Cmte,3,JD100
21946,0.0,1992,Cand,L,JD100
22078,0.0,1992,Cmte,I,M5100
22079,0.0,1992,Cand,I,M5100
22080,0.0,1992,Cmte,L,M5100
22081,0.0,1992,Cand,L,M5100
22195,0.0,1992,Cand,I,X0000
22194,0.0,1992,Cmte,I,X0000
22193,0.0,1992,Cand, ,X0000
22192,0.0,1992,Cmte, ,X0000
22143,0.0,1992,Cand,U,H3000
22142,0.0,1992,Cmte,U,H3000
22141,0.0,1992,Cmte,3,H3000
21945,0.0,1992,Cmte,L,JD100
22140,0.0,1992,Cand,L,H3000
22138,0.0,1992,Cand,I,H3000
22137,0.0,1992,Cmte,I,H3000
22136,0.0,1992,Cand, ,H3000
22135,0.0,1992,Cmte, ,H3000
22084,0.0,1992,Cand,U,M5100
22083,0.0,1992,Cmte,U,M5100
22082,0.0,1992,Cmte,3,M5100
22139,0.0,1992,Cmte,L,H3000
22196,0.0,1992,Cand,L,X0000
21944,0.0,1992,Cand,I,JD100
21942,0.0,1992,Cand,D,JD100
21789,0.0,1992,Cmte,I,H1700
21788,0.0,1992,Cand, ,H1700
21787,0.0,1992,Cmte, ,H1700
21725,0.0,1992,Cand,U,G2110
21724,0.0,1992,Cmte,U,G2110
21723,0.0,1992,Cmte,3,G2110
21722,0.0,1992,Cand,L,G2110
21721,0.0,1992,Cmte,L,G2110
21720,0.0,1992,Cand,I,G2110
21719,0.0,1992,Cmte,I,G2110
21718,0.0,1992,Cand,D,G2110
21717,0.0,1992,Cmte,D,G2110
21716,0.0,1992,Cand, ,G2110
21715,0.0,1992,Cmte, ,G2110
21645,0.0,1992,Cand,U,LM100
21790,0.0,1992,Cmte,L,H1700
21791,0.0,1992,Cand,L,H1700
21792,0.0,1992,Cmte,U,H1700
21793,0.0,1992,Cand,U,H1700
21941,0.0,1992,Cand, ,JD100
21940,0.0,1992,Cmte, ,JD100
21857,0.0,1992,Cand,U,h6000
21856,0.0,1992,Cmte,U,h6000
21855,0.0,1992,Cand,R,h6000
21854,0.0,1992,Cmte,R,h6000
21853,0.0,1992,Cand,3,h6000
21943,0.0,1992,Cmte,I,JD100
21852,0.0,1992,Cmte,3,h6000
21850,0.0,1992,Cmte,L,h6000
21849,0.0,1992,Cand,I,h6000
21848,0.0,1992,Cmte,I,h6000
21847,0.0,1992,Cand,D,h6000
21846,0.0,1992,Cmte,D,h6000
21845,0.0,1992,Cand, ,h6000
21844,0.0,1992,Cmte, ,h6000
21851,0.0,1992,Cand,L,h6000
22197,0.0,1992,Cmte,U,X0000
22198,0.0,1992,Cand,U,X0000
22238,0.0,1992,Cmte, ,B4200
22630,0.0,1992,Cmte,I,A4500
22629,0.0,1992,Cand, ,A4500
22628,0.0,1992,Cmte, ,A4500
22574,0.0,1992,Cand,U,F3000
22573,0.0,1992,Cmte,U,F3000
22572,0.0,1992,Cmte,3,F3000
22571,0.0,1992,Cand,L,F3000
22570,0.0,1992,Cmte,L,F3000
22569,0.0,1992,Cand,I,F3000
22568,0.0,1992,Cmte,I,F3000
22567,0.0,1992,Cand, ,F3000
22566,0.0,1992,Cmte, ,F3000
22501,0.0,1992,Cand,U,E4000
22500,0.0,1992,Cmte,U,E4000
22499,0.0,1992,Cand,R,E4000
22631,0.0,1992,Cmte,L,A4500
22632,0.0,1992,Cmte,3,A4500
22633,0.0,1992,Cmte,U,A4500
22634,0.0,1992,Cand,U,A4500
22756,0.0,1992,Cand,U,A2000
22755,0.0,1992,Cmte,U,A2000
22754,0.0,1992,Cand,L,A2000
22753,0.0,1992,Cmte,L,A2000
22752,0.0,1992,Cand,I,A2000
22751,0.0,1992,Cmte,I,A2000
22750,0.0,1992,Cand, ,A2000
22498,0.0,1992,Cmte,R,E4000
22749,0.0,1992,Cmte, ,A2000
22693,0.0,1992,Cmte,U,G5220
22692,0.0,1992,Cmte,3,G5220
22691,0.0,1992,Cmte,L,G5220
22690,0.0,1992,Cand,I,G5220
22689,0.0,1992,Cmte,I,G5220
22688,0.0,1992,Cand, ,G5220
22687,0.0,1992,Cmte, ,G5220
22694,0.0,1992,Cand,U,G5220
22497,0.0,1992,Cand,3,E4000
22496,0.0,1992,Cmte,3,E4000
22495,0.0,1992,Cand,L,E4000
22354,0.0,1992,Cmte,L,X3100
22353,0.0,1992,Cand,I,X3100
22352,0.0,1992,Cmte,I,X3100
22351,0.0,1992,Cand, ,X3100
22350,0.0,1992,Cmte, ,X3100
22293,0.0,1992,Cand,U,G4500
22292,0.0,1992,Cmte,U,G4500
22355,0.0,1992,Cand,L,X3100
22291,0.0,1992,Cmte,3,G4500
22289,0.0,1992,Cand, ,G4500
22288,0.0,1992,Cmte, ,G4500
22243,0.0,1992,Cand,U,B4200
22242,0.0,1992,Cmte,U,B4200
22241,0.0,1992,Cand,I,B4200
22240,0.0,1992,Cmte,I,B4200
22239,0.0,1992,Cand, ,B4200
22290,0.0,1992,Cmte,I,G4500
23777,0.0,1992,Cand,U,G1200
22356,0.0,1992,Cmte,U,X3100
22413,0.0,1992,Cmte, ,T8200
22494,0.0,1992,Cmte,L,E4000
22493,0.0,1992,Cand,I,E4000
22492,0.0,1992,Cmte,I,E4000
22491,0.0,1992,Cmte,D,E4000
22490,0.0,1992,Cand, ,E4000
22489,0.0,1992,Cmte, ,E4000
22423,0.0,1992,Cand,U,T8200
22357,0.0,1992,Cand,U,X3100
22422,0.0,1992,Cmte,U,T8200
22420,0.0,1992,Cand,L,T8200
22419,0.0,1992,Cmte,L,T8200
22418,0.0,1992,Cand,I,T8200
22417,0.0,1992,Cmte,I,T8200
22416,0.0,1992,Cand,D,T8200
22415,0.0,1992,Cmte,D,T8200
22414,0.0,1992,Cand, ,T8200
22421,0.0,1992,Cmte,3,T8200
23844,0.0,1992,Cmte, ,A3100
23845,0.0,1992,Cand, ,A3100
23846,0.0,1992,Cmte,I,A3100
25362,0.0,1992,Cand,I,LT000
25361,0.0,1992,Cmte,I,LT000
25360,0.0,1992,Cand, ,LT000
25359,0.0,1992,Cmte, ,LT000
25296,0.0,1992,Cand,U,G6000
25295,0.0,1992,Cmte,U,G6000
25294,0.0,1992,Cmte,3,G6000
25293,0.0,1992,Cmte,L,G6000
25292,0.0,1992,Cand,I,G6000
25291,0.0,1992,Cmte,I,G6000
25290,0.0,1992,Cand, ,G6000
25289,0.0,1992,Cmte, ,G6000
25246,0.0,1992,Cand,U,F2100
25245,0.0,1992,Cmte,U,F2100
25244,0.0,1992,Cand,I,F2100
25363,0.0,1992,Cmte,L,LT000
25364,0.0,1992,Cand,L,LT000
25365,0.0,1992,Cmte,3,LT000
25366,0.0,1992,Cmte,R,LT000
25524,0.0,1992,Cmte,I,T5200
25523,0.0,1992,Cand, ,T5200
25522,0.0,1992,Cmte, ,T5200
25450,0.0,1992,Cand,U,Z9100
25449,0.0,1992,Cmte,U,Z9100
25448,0.0,1992,Cand,R,Z9100
25447,0.0,1992,Cand,3,Z9100
25243,0.0,1992,Cmte,I,F2100
25446,0.0,1992,Cand,L,Z9100
25444,0.0,1992,Cmte,I,Z9100
25443,0.0,1992,Cand,D,Z9100
25442,0.0,1992,Cand, ,Z9100
25441,0.0,1992,Cmte, ,Z9100
25369,0.0,1992,Cand,U,LT000
25368,0.0,1992,Cmte,U,LT000
25367,0.0,1992,Cand,R,LT000
25445,0.0,1992,Cand,I,Z9100
25525,0.0,1992,Cand,I,T5200
25242,0.0,1992,Cand, ,F2100
25185,0.0,1992,Cand,U,E1300
25012,0.0,1992,Cand,R,g2820
25011,0.0,1992,Cmte,R,g2820
25010,0.0,1992,Cand,3,g2820
25009,0.0,1992,Cmte,3,g2820
25008,0.0,1992,Cand,L,g2820
25007,0.0,1992,Cmte,L,g2820
25006,0.0,1992,Cand,I,g2820
25005,0.0,1992,Cmte,I,g2820
25004,0.0,1992,Cand,D,g2820
25003,0.0,1992,Cmte,D,g2820
9861,0.0,1992,Cand, ,D6000
25001,0.0,1992,Cmte, ,g2820
24944,0.0,1992,Cand,U,G4100
24943,0.0,1992,Cmte,U,G4100
24942,0.0,1992,Cand,L,G4100
25013,0.0,1992,Cmte,U,g2820
25014,0.0,1992,Cand,U,g2820
25098,0.0,1992,Cmte, ,H3500
25099,0.0,1992,Cand, ,H3500
25184,0.0,1992,Cmte,U,E1300
25183,0.0,1992,Cmte,3,E1300
25182,0.0,1992,Cand,L,E1300
25181,0.0,1992,Cmte,L,E1300
25180,0.0,1992,Cand,I,E1300
25179,0.0,1992,Cmte,I,E1300
25178,0.0,1992,Cand, ,E1300
25241,0.0,1992,Cmte, ,F2100
25177,0.0,1992,Cmte, ,E1300
25106,0.0,1992,Cmte,U,H3500
25105,0.0,1992,Cand,R,H3500
25104,0.0,1992,Cmte,R,H3500
25103,0.0,1992,Cand,3,H3500
25102,0.0,1992,Cmte,3,H3500
25101,0.0,1992,Cand,I,H3500
25100,0.0,1992,Cmte,I,H3500
25107,0.0,1992,Cand,U,H3500
25526,0.0,1992,Cmte,L,T5200
25527,0.0,1992,Cand,L,T5200
25528,0.0,1992,Cmte,3,T5200
25930,0.0,1992,Cand, ,C5120
25929,0.0,1992,Cmte, ,C5120
25851,0.0,1992,Cand,U,f1420
25850,0.0,1992,Cmte,U,f1420
25849,0.0,1992,Cand,R,f1420
25848,0.0,1992,Cmte,R,f1420
25847,0.0,1992,Cand,3,f1420
25846,0.0,1992,Cmte,3,f1420
25845,0.0,1992,Cand,L,f1420
25844,0.0,1992,Cmte,L,f1420
25843,0.0,1992,Cand,I,f1420
25842,0.0,1992,Cmte,I,f1420
25841,0.0,1992,Cand,D,f1420
25840,0.0,1992,Cmte,D,f1420
25839,0.0,1992,Cand, ,f1420
25931,0.0,1992,Cmte,I,C5120
25932,0.0,1992,Cand,I,C5120
25933,0.0,1992,Cmte,U,C5120
25934,0.0,1992,Cand,U,C5120
26043,0.0,1992,Cand,L,H1750
26042,0.0,1992,Cmte,L,H1750
26041,0.0,1992,Cand,I,H1750
26040,0.0,1992,Cmte,I,H1750
26039,0.0,1992,Cand, ,H1750
26038,0.0,1992,Cmte, ,H1750
25982,0.0,1992,Cand,U,B6000
25838,0.0,1992,Cmte, ,f1420
25981,0.0,1992,Cmte,U,B6000
25979,0.0,1992,Cmte,3,B6000
25978,0.0,1992,Cand,L,B6000
25977,0.0,1992,Cmte,L,B6000
25976,0.0,1992,Cand,I,B6000
25975,0.0,1992,Cmte,I,B6000
25974,0.0,1992,Cand, ,B6000
25973,0.0,1992,Cmte, ,B6000
25980,0.0,1992,Cand,3,B6000
25773,0.0,1992,Cand,U,LM150
25772,0.0,1992,Cmte,U,LM150
25771,0.0,1992,Cand,R,LM150
25653,0.0,1992,Cand,L,E1160
25652,0.0,1992,Cmte,L,E1160
25651,0.0,1992,Cand,I,E1160
25650,0.0,1992,Cmte,I,E1160
25649,0.0,1992,Cand, ,E1160
25648,0.0,1992,Cmte, ,E1160
25599,0.0,1992,Cand,U,C2300
25654,0.0,1992,Cmte,U,E1160
25598,0.0,1992,Cmte,U,C2300
25596,0.0,1992,Cand,I,C2300
25595,0.0,1992,Cmte,I,C2300
25594,0.0,1992,Cand, ,C2300
25593,0.0,1992,Cmte, ,C2300
25531,0.0,1992,Cand,U,T5200
25530,0.0,1992,Cmte,U,T5200
25529,0.0,1992,Cand,3,T5200
25597,0.0,1992,Cmte,3,C2300
24941,0.0,1992,Cmte,L,G4100
25655,0.0,1992,Cand,U,E1160
25706,0.0,1992,Cand, ,H1120
25770,0.0,1992,Cmte,R,LM150
25769,0.0,1992,Cand,3,LM150
25768,0.0,1992,Cmte,3,LM150
25767,0.0,1992,Cand,L,LM150
25766,0.0,1992,Cmte,L,LM150
25765,0.0,1992,Cand,I,LM150
25764,0.0,1992,Cmte,I,LM150
25705,0.0,1992,Cmte, ,H1120
25763,0.0,1992,Cand, ,LM150
25713,0.0,1992,Cand,U,H1120
25712,0.0,1992,Cmte,U,H1120
25711,0.0,1992,Cmte,3,H1120
25710,0.0,1992,Cand,L,H1120
25709,0.0,1992,Cmte,L,H1120
25708,0.0,1992,Cand,I,H1120
25707,0.0,1992,Cmte,I,H1120
25762,0.0,1992,Cmte, ,LM150
21644,0.0,1992,Cmte,U,LM100
24940,0.0,1992,Cand,I,G4100
24938,0.0,1992,Cand, ,G4100
24212,0.0,1992,Cmte,L,C6400
24211,0.0,1992,Cand,I,C6400
24210,0.0,1992,Cmte,I,C6400
24209,0.0,1992,Cand,D,C6400
24208,0.0,1992,Cmte,D,C6400
24207,0.0,1992,Cand, ,C6400
24206,0.0,1992,Cmte, ,C6400
24130,0.0,1992,Cand,U,c5110
24129,0.0,1992,Cmte,U,c5110
24128,0.0,1992,Cand,R,c5110
24127,0.0,1992,Cmte,R,c5110
24126,0.0,1992,Cand,3,c5110
24125,0.0,1992,Cmte,3,c5110
24124,0.0,1992,Cand,L,c5110
24123,0.0,1992,Cmte,L,c5110
24213,0.0,1992,Cand,L,C6400
24214,0.0,1992,Cmte,3,C6400
24215,0.0,1992,Cand,3,C6400
24216,0.0,1992,Cand,R,C6400
24287,0.0,1992,Cand,U,f4500
24286,0.0,1992,Cmte,U,f4500
24285,0.0,1992,Cand,R,f4500
24284,0.0,1992,Cmte,R,f4500
24283,0.0,1992,Cand,3,f4500
24282,0.0,1992,Cmte,3,f4500
24281,0.0,1992,Cand,L,f4500
24122,0.0,1992,Cand,I,c5110
24280,0.0,1992,Cmte,L,f4500
24278,0.0,1992,Cmte,I,f4500
24277,0.0,1992,Cand,D,f4500
24276,0.0,1992,Cmte,D,f4500
24275,0.0,1992,Cand, ,f4500
24274,0.0,1992,Cmte, ,f4500
24218,0.0,1992,Cand,U,C6400
24217,0.0,1992,Cmte,U,C6400
24279,0.0,1992,Cand,I,f4500
24370,0.0,1992,Cmte, ,T3000
24121,0.0,1992,Cmte,I,c5110
24119,0.0,1992,Cmte,D,c5110
23919,0.0,1992,Cand,U,G2300
23918,0.0,1992,Cmte,U,G2300
23917,0.0,1992,Cand,3,G2300
23916,0.0,1992,Cmte,3,G2300
23915,0.0,1992,Cmte,L,G2300
23914,0.0,1992,Cand,I,G2300
23913,0.0,1992,Cmte,I,G2300
23912,0.0,1992,Cand, ,G2300
23911,0.0,1992,Cmte, ,G2300
23852,0.0,1992,Cand,U,A3100
23851,0.0,1992,Cmte,U,A3100
23850,0.0,1992,Cmte,3,A3100
23849,0.0,1992,Cand,L,A3100
23848,0.0,1992,Cmte,L,A3100
23847,0.0,1992,Cand,I,A3100
23979,0.0,1992,Cmte, ,C5300
23980,0.0,1992,Cand, ,C5300
23981,0.0,1992,Cmte,I,C5300
23982,0.0,1992,Cand,I,C5300
24118,0.0,1992,Cand, ,c5110
24117,0.0,1992,Cmte, ,c5110
24071,0.0,1992,Cand,U,X3200
24070,0.0,1992,Cmte,U,X3200
24069,0.0,1992,Cand,L,X3200
24068,0.0,1992,Cmte,L,X3200
24067,0.0,1992,Cand,I,X3200
24120,0.0,1992,Cand,D,c5110
24066,0.0,1992,Cmte,I,X3200
24064,0.0,1992,Cmte, ,X3200
23988,0.0,1992,Cand,U,C5300
23987,0.0,1992,Cmte,U,C5300
23986,0.0,1992,Cand,R,C5300
23985,0.0,1992,Cmte,3,C5300
23984,0.0,1992,Cand,L,C5300
23983,0.0,1992,Cmte,L,C5300
24065,0.0,1992,Cand, ,X3200
24371,0.0,1992,Cand, ,T3000
24372,0.0,1992,Cmte,I,T3000
24373,0.0,1992,Cand,I,T3000
24792,0.0,1992,Cand, ,J2500
24791,0.0,1992,Cmte, ,J2500
24740,0.0,1992,Cand,U,G5290
24739,0.0,1992,Cmte,U,G5290
24738,0.0,1992,Cand,L,G5290
24737,0.0,1992,Cmte,L,G5290
24736,0.0,1992,Cand,I,G5290
24735,0.0,1992,Cmte,I,G5290
24734,0.0,1992,Cand, ,G5290
24733,0.0,1992,Cmte, ,G5290
24679,0.0,1992,Cand,U,D5000
24678,0.0,1992,Cmte,U,D5000
24677,0.0,1992,Cand,3,D5000
24676,0.0,1992,Cmte,3,D5000
24675,0.0,1992,Cand,L,D5000
24793,0.0,1992,Cand,D,J2500
24794,0.0,1992,Cmte,I,J2500
24795,0.0,1992,Cand,I,J2500
24796,0.0,1992,Cmte,L,J2500
24937,0.0,1992,Cmte, ,G4100
24881,0.0,1992,Cand,U,M2000
24880,0.0,1992,Cmte,U,M2000
24879,0.0,1992,Cmte,3,M2000
24878,0.0,1992,Cand,L,M2000
24877,0.0,1992,Cmte,L,M2000
24876,0.0,1992,Cand,I,M2000
24674,0.0,1992,Cmte,L,D5000
24875,0.0,1992,Cmte,I,M2000
24873,0.0,1992,Cmte, ,M2000
24802,0.0,1992,Cand,U,J2500
24801,0.0,1992,Cmte,U,J2500
24800,0.0,1992,Cand,R,J2500
24799,0.0,1992,Cand,3,J2500
24798,0.0,1992,Cmte,3,J2500
24797,0.0,1992,Cand,L,J2500
24874,0.0,1992,Cand, ,M2000
24673,0.0,1992,Cand,I,D5000
24672,0.0,1992,Cmte,I,D5000
24671,0.0,1992,Cand, ,D5000
24503,0.0,1992,Cand,L,E1600
24502,0.0,1992,Cmte,L,E1600
24501,0.0,1992,Cmte,I,E1600
24500,0.0,1992,Cand, ,E1600
24499,0.0,1992,Cmte, ,E1600
24442,0.0,1992,Cand,U,F4700
24441,0.0,1992,Cmte,U,F4700
24504,0.0,1992,Cmte,3,E1600
24440,0.0,1992,Cand,I,F4700
24438,0.0,1992,Cand, ,F4700
24437,0.0,1992,Cmte, ,F4700
24378,0.0,1992,Cand,U,T3000
24377,0.0,1992,Cmte,U,T3000
24376,0.0,1992,Cand,3,T3000
24375,0.0,1992,Cmte,3,T3000
24374,0.0,1992,Cmte,L,T3000
24439,0.0,1992,Cmte,I,F4700
24939,0.0,1992,Cmte,I,G4100
24505,0.0,1992,Cmte,U,E1600
24552,0.0,1992,Cmte, ,X3700
24670,0.0,1992,Cmte, ,D5000
24610,0.0,1992,Cand,U,C0000
24609,0.0,1992,Cmte,U,C0000
24608,0.0,1992,Cand,3,C0000
24607,0.0,1992,Cmte,3,C0000
24606,0.0,1992,Cand,L,C0000
24605,0.0,1992,Cand,I,C0000
24506,0.0,1992,Cand,U,E1600
24604,0.0,1992,Cmte,I,C0000
24602,0.0,1992,Cmte, ,C0000
24558,0.0,1992,Cand,U,X3700
24557,0.0,1992,Cmte,U,X3700
24556,0.0,1992,Cmte,3,X3700
24555,0.0,1992,Cand,I,X3700
24554,0.0,1992,Cmte,I,X3700
24553,0.0,1992,Cand, ,X3700
24603,0.0,1992,Cand, ,C0000
21643,0.0,1992,Cand,R,LM100
21642,0.0,1992,Cmte,R,LM100
21641,0.0,1992,Cand,3,LM100
19600,0.0,1992,Cmte,I,LE200
19599,0.0,1992,Cand,D,LE200
19598,0.0,1992,Cmte,D,LE200
19597,0.0,1992,Cand, ,LE200
19596,0.0,1992,Cmte, ,LE200
781,0.0,1992,Cmte, ,M9200
782,0.0,1992,Cand, ,M9200
783,0.0,1992,Cmte,I,M9200
784,0.0,1992,Cand,I,M9200
785,0.0,1992,Cmte,3,M9200
786,0.0,1992,Cand,3,M9200
787,0.0,1992,Cmte,U,M9200
788,0.0,1992,Cand,U,M9200
19532,0.0,1992,Cand,U,LC150
19531,0.0,1992,Cmte,U,LC150
19601,0.0,1992,Cand,I,LE200
19602,0.0,1992,Cmte,L,LE200
19603,0.0,1992,Cand,L,LE200
19604,0.0,1992,Cmte,3,LE200
688,0.0,1992,Cand,D,h5000
689,0.0,1992,Cmte,I,h5000
690,0.0,1992,Cand,I,h5000
691,0.0,1992,Cmte,L,h5000
692,0.0,1992,Cand,L,h5000
693,0.0,1992,Cmte,3,h5000
694,0.0,1992,Cand,3,h5000
19530,0.0,1992,Cand,R,LC150
695,0.0,1992,Cmte,R,h5000
697,0.0,1992,Cmte,U,h5000
698,0.0,1992,Cand,U,h5000
19609,0.0,1992,Cand,U,LE200
19608,0.0,1992,Cmte,U,LE200
19607,0.0,1992,Cand,R,LE200
19606,0.0,1992,Cmte,R,LE200
19605,0.0,1992,Cand,3,LE200
696,0.0,1992,Cand,R,h5000
687,0.0,1992,Cmte,D,h5000
19529,0.0,1992,Cmte,R,LC150
19527,0.0,1992,Cmte,3,LC150
19441,0.0,1992,Cand,U,Z5300
19440,0.0,1992,Cmte,U,Z5300
19439,0.0,1992,Cand,R,Z5300
19438,0.0,1992,Cmte,R,Z5300
19437,0.0,1992,Cand,3,Z5300
19436,0.0,1992,Cmte,3,Z5300
19435,0.0,1992,Cand,L,Z5300
19434,0.0,1992,Cmte,L,Z5300
19433,0.0,1992,Cand,I,Z5300
19432,0.0,1992,Cmte,I,Z5300
19431,0.0,1992,Cand,D,Z5300
19430,0.0,1992,Cmte,D,Z5300
19429,0.0,1992,Cand, ,Z5300
