,index,Cycle,Party,Type,Catname,Amount,Amount,Amount
804,804,2012,R,PACs,"Motorcycles, snowmobiles & other motorized vehicle",1500,2,0.5
805,805,2012,R,PACs,Natural Gas transmission & distribution,4600,3,0.333333333333
806,806,2012,R,PACs,Nuclear energy,1000,1,1.0
807,807,2012,R,PACs,Nurses,3500,2,0.5
808,808,2012,R,PACs,Nursing homes,3000,2,0.5
809,809,2012,R,PACs,Optometrists & Ophthalmologists,5000,1,1.0
810,810,2012,R,PACs,"Other commodities (incl rice, peanuts, honey)",1000,1,1.0
811,811,2012,R,PACs,Other non-physician health practitioners,2000,1,1.0
812,812,2012,R,PACs,Other physician specialists,11500,5,0.2
813,813,2012,R,PACs,Other single-issue or ideological groups,17248,12,0.0833333333333
814,814,2012,R,PACs,Outdoor advertising services,1000,1,1.0
815,815,2012,R,PACs,"Paints, Solvents & Coatings",7500,2,0.5
816,816,2012,R,PACs,Payday lenders,500,3,0.333333333333
817,817,2012,R,PACs,Petroleum refining & marketing,3500,2,0.5
818,818,2012,R,PACs,Pharmaceutical manufacturing,1000,1,1.0
819,819,2012,R,PACs,Physicians,14500,5,0.2
820,820,2012,R,PACs,Police & firefighters unions & associations,1000,1,1.0
821,821,2012,R,PACs,Poultry & eggs,1000,1,1.0
822,822,2012,R,PACs,Precision instruments,1000,1,1.0
823,823,2012,R,PACs,Pro-Guns,2375,8,0.125
824,824,2012,R,PACs,Pro-Israel,2722,2,0.5
825,825,2012,R,PACs,"Public works, industrial & commercial construction",4000,3,0.333333333333
826,826,2012,R,PACs,Railroads,4500,3,0.333333333333
827,827,2012,R,PACs,Real Estate developers & subdividers,4000,4,0.25
828,828,2012,R,PACs,Real estate agents,10000,2,0.5
829,829,2012,R,PACs,Recorded Music & music production,1500,1,1.0
830,830,2012,R,PACs,"Recycling of metal, paper, plastics, etc.",500,1,1.0
831,831,2012,R,PACs,Republican Candidate Committees,44983,41,0.0243902439024
832,832,2012,R,PACs,Republican Party Committees,34427,35,0.0285714285714
833,833,2012,R,PACs,Republican leadership PAC,87687,43,0.0232558139535
834,834,2012,R,PACs,"Republican officials, candidates & former members",-4000,3,0.333333333333
835,835,2012,R,PACs,Republican/Conservative,260166,61,0.016393442623
836,836,2012,R,PACs,Residential construction,3000,2,0.5
837,837,2012,R,PACs,Restaurants & drinking establishments,3000,3,0.333333333333
838,838,2012,R,PACs,Sea freight & passenger services,500,1,1.0
839,839,2012,R,PACs,Security brokers & investment companies,3500,2,0.5
840,840,2012,R,PACs,Small business associations,2600,2,0.5
841,841,2012,R,PACs,Special trade contractors,1000,1,1.0
842,842,2012,R,PACs,State & local govt employee unions,7171,1,1.0
843,843,2012,R,PACs,"Stone, clay, glass & concrete products",1000,3,0.333333333333
844,844,2012,R,PACs,Surveying,1500,2,0.5
845,845,2012,R,PACs,Telephone utilities,3750,4,0.25
846,846,2012,R,PACs,Third-Party Party Committees,1500,1,1.0
847,847,2012,R,PACs,Third-party committees,10727,1,1.0
848,848,2012,R,PACs,Tobacco & Tobacco products,-1500,2,0.5
849,849,2012,R,PACs,Trial lawyers & law firms,2500,1,1.0
850,850,2012,R,PACs,Truck/Automotive parts & accessories,500,1,1.0
851,851,2012,R,PACs,Trucking companies & services,1500,2,0.5
852,852,2012,R,PACs,"Vegetables, fruits and tree nut",2750,3,0.333333333333
853,853,2012,R,PACs,Vendors,1000,1,1.0
854,854,2012,R,PACs,Venture capital,2000,1,1.0
855,855,2012,R,PACs,Waste management,1000,1,1.0
856,856,2012,R,PACs,Women's issues,-500,1,1.0
